#Tjørhom, 26.17.0, Magasinvolum, time
Tidspunkt;Magasinvolum (millioner m³);Korrigert;Kontrollert
2015-12-31 00:00:00Z;0,3079745;0;2
2015-12-31 01:00:00Z;0,3908032;0;2
2015-12-31 02:00:00Z;0,4846317;0;2
2015-12-31 03:00:00Z;0,6010082;0;2
2015-12-31 04:00:00Z;0,7611294;0;2
2015-12-31 05:00:00Z;0,9223836;0;2
2015-12-31 06:00:00Z;1,075306;0;2
2015-12-31 07:00:00Z;1,196517;0;2
2015-12-31 08:00:00Z;1,25773;0;2
2015-12-31 09:00:00Z;1,290322;0;2
2015-12-31 10:00:00Z;1,306135;0;2
2015-12-31 11:00:00Z;1,309097;0;2
2015-12-31 12:00:00Z;1,313036;0;2
2015-12-31 13:00:00Z;1,302178;0;2
2015-12-31 14:00:00Z;1,300204;0;2
2015-12-31 15:00:00Z;1,298227;0;2
2015-12-31 16:00:00Z;1,28538;0;2
2015-12-31 17:00:00Z;1,275513;0;2
2015-12-31 18:00:00Z;1,260692;0;2
2015-12-31 19:00:00Z;1,24786;0;2
2015-12-31 20:00:00Z;1,250829;0;2
2015-12-31 21:00:00Z;1,245886;0;2
2015-12-31 22:00:00Z;1,242924;0;2
2015-12-31 23:00:00Z;1,230092;0;2
2016-01-01 00:00:00Z;1,223176;0;2
2016-01-01 01:00:00Z;1,230092;0;2
2016-01-01 02:00:00Z;1,24786;0;2
2016-01-01 03:00:00Z;1,284391;0;2
2016-01-01 04:00:00Z;1,324888;0;2
2016-01-01 05:00:00Z;1,372289;0;2
2016-01-01 06:00:00Z;1,426604;0;2
2016-01-01 07:00:00Z;1,481892;0;2
2016-01-01 08:00:00Z;1,537194;0;2
2016-01-01 09:00:00Z;1,593485;0;2
2016-01-01 10:00:00Z;1,651742;0;2
2016-01-01 11:00:00Z;1,686308;0;2
2016-01-01 12:00:00Z;1,71001;0;2
2016-01-01 13:00:00Z;1,723845;0;2
2016-01-01 14:00:00Z;1,719891;0;2
2016-01-01 15:00:00Z;1,716929;0;2
2016-01-01 16:00:00Z;1,705086;0;2
2016-01-01 17:00:00Z;1,701135;0;2
2016-01-01 18:00:00Z;1,688285;0;2
2016-01-01 19:00:00Z;1,678403;0;2
2016-01-01 20:00:00Z;1,663597;0;2
2016-01-01 21:00:00Z;1,650765;0;2
2016-01-01 22:00:00Z;1,656681;0;2
2016-01-01 23:00:00Z;1,670513;0;2
2016-01-02 00:00:00Z;1,683342;0;2
2016-01-02 01:00:00Z;1,721862;0;2
2016-01-02 02:00:00Z;1,788832;0;2
2016-01-02 03:00:00Z;1,894795;0;2
2016-01-02 04:00:00Z;1,981092;0;2
2016-01-02 05:00:00Z;2,064127;0;2
2016-01-02 06:00:00Z;2,149444;0;2
2016-01-02 07:00:00Z;2,20518;0;2
2016-01-02 08:00:00Z;2,234756;0;2
2016-01-02 09:00:00Z;2,252967;0;2
2016-01-02 10:00:00Z;2,262055;0;2
2016-01-02 11:00:00Z;2,262055;0;2
2016-01-02 12:00:00Z;2,254105;0;2
2016-01-02 13:00:00Z;2,245;0;2
2016-01-02 14:00:00Z;2,235894;0;2
2016-01-02 15:00:00Z;2,225668;0;2
2016-01-02 16:00:00Z;2,207457;0;2
2016-01-02 17:00:00Z;2,180158;0;2
2016-01-02 18:00:00Z;2,147184;0;2
2016-01-02 19:00:00Z;2,126699;0;2
2016-01-02 20:00:00Z;2,108502;0;2
2016-01-02 21:00:00Z;2,092565;0;2
2016-01-02 22:00:00Z;2,086875;0;2
2016-01-02 23:00:00Z;2,065266;0;2
2016-01-03 00:00:00Z;2,052766;0;2
2016-01-03 01:00:00Z;2,035694;0;2
2016-01-03 02:00:00Z;2,0175;0;2
2016-01-03 03:00:00Z;2,002719;0;2
2016-01-03 04:00:00Z;2,006121;0;2
2016-01-03 05:00:00Z;2,002719;0;2
2016-01-03 06:00:00Z;2,015226;0;2
2016-01-03 07:00:00Z;2,018639;0;2
2016-01-03 08:00:00Z;2,024332;0;2
2016-01-03 09:00:00Z;2,0175;0;2
2016-01-03 10:00:00Z;2,006117;0;2
2016-01-03 11:00:00Z;1,983369;0;2
2016-01-03 12:00:00Z;1,969734;0;2
2016-01-03 13:00:00Z;1,945847;0;2
2016-01-03 14:00:00Z;1,925359;0;2
2016-01-03 15:00:00Z;1,899195;0;2
2016-01-03 16:00:00Z;1,869623;0;2
2016-01-03 17:00:00Z;1,827543;0;2
2016-01-03 18:00:00Z;1,789615;0;2
2016-01-03 19:00:00Z;1,751495;0;2
2016-01-03 20:00:00Z;1,719891;0;2
2016-01-03 21:00:00Z;1,696189;0;2
2016-01-03 22:00:00Z;1,683342;0;2
2016-01-03 23:00:00Z;1,695201;0;2
2016-01-04 00:00:00Z;1,712972;0;2
2016-01-04 01:00:00Z;1,744576;0;2
2016-01-04 02:00:00Z;1,787488;0;2
2016-01-04 03:00:00Z;1,817299;0;2
2016-01-04 04:00:00Z;1,844598;0;2
2016-01-04 05:00:00Z;1,869623;0;2
2016-01-04 06:00:00Z;1,878728;0;2
2016-01-04 07:00:00Z;1,873035;0;2
2016-01-04 08:00:00Z;1,868484;0;2
2016-01-04 09:00:00Z;1,843459;0;2
2016-01-04 10:00:00Z;1,809479;0;2
2016-01-04 11:00:00Z;1,77943;0;2
2016-01-04 12:00:00Z;1,735683;0;2
2016-01-04 13:00:00Z;1,695201;0;2
2016-01-04 14:00:00Z;1,653718;0;2
2016-01-04 15:00:00Z;1,601393;0;2
2016-01-04 16:00:00Z;1,552021;0;2
2016-01-04 17:00:00Z;1,496715;0;2
2016-01-04 18:00:00Z;1,437456;0;2
2016-01-04 19:00:00Z;1,393023;0;2
2016-01-04 20:00:00Z;1,342659;0;2
2016-01-04 21:00:00Z;1,308109;0;2
2016-01-04 22:00:00Z;1,279467;0;2
2016-01-04 23:00:00Z;1,267612;0;2
2016-01-05 00:00:00Z;1,252803;0;2
2016-01-05 01:00:00Z;1,238967;0;2
2016-01-05 02:00:00Z;1,235016;0;2
2016-01-05 03:00:00Z;1,222185;0;2
2016-01-05 04:00:00Z;1,212306;0;2
2016-01-05 05:00:00Z;1,195523;0;2
2016-01-05 06:00:00Z;1,16787;0;2
2016-01-05 07:00:00Z;1,145163;0;2
2016-01-05 08:00:00Z;1,097759;0;2
2016-01-05 09:00:00Z;1,062204;0;2
2016-01-05 10:00:00Z;1,023924;0;2
2016-01-05 11:00:00Z;0,9854693;0;2
2016-01-05 12:00:00Z;0,9440068;0;2
2016-01-05 13:00:00Z;0,9019924;0;2
2016-01-05 14:00:00Z;0,8582424;0;2
2016-01-05 15:00:00Z;0,8048741;0;2
2016-01-05 16:00:00Z;0,7541225;0;2
2016-01-05 17:00:00Z;0,7007542;0;2
2016-01-05 18:00:00Z;0,6552552;0;2
2016-01-05 19:00:00Z;0,6027466;0;2
2016-01-05 20:00:00Z;0,5607456;0;2
2016-01-05 21:00:00Z;0,5301174;0;2
2016-01-05 22:00:00Z;0,4968724;0;2
2016-01-05 23:00:00Z;0,46712;0;2
2016-01-06 00:00:00Z;0,4330017;0;2
2016-01-06 01:00:00Z;0,3971317;0;2
2016-01-06 02:00:00Z;0,3568692;0;2
2016-01-06 03:00:00Z;0,3221482;0;2
2016-01-06 04:00:00Z;0,2974253;0;2
2016-01-06 05:00:00Z;0,2874018;0;2
