#Svartevatn, 26.28.0, Magasinvolum, time
Tidspunkt;Magasinvolum (millioner m³);Korrigert;Kontrollert
2015-12-31 00:00:00Z;1391,559;0;2
2015-12-31 01:00:00Z;1391,412;0;2
2015-12-31 02:00:00Z;1391,596;0;2
2015-12-31 03:00:00Z;1391,633;0;2
2015-12-31 04:00:00Z;1391,669;0;2
2015-12-31 05:00:00Z;1391,853;0;2
2015-12-31 06:00:00Z;1391,633;0;2
2015-12-31 07:00:00Z;1391,376;0;2
2015-12-31 08:00:00Z;1391,339;0;2
2015-12-31 09:00:00Z;1391,339;0;2
2015-12-31 10:00:00Z;1391,302;0;2
2015-12-31 11:00:00Z;1391,082;0;2
2015-12-31 12:00:00Z;1391,009;0;2
2015-12-31 13:00:00Z;1390,825;0;2
2015-12-31 14:00:00Z;1390,935;0;2
2015-12-31 15:00:00Z;1390,495;0;2
2015-12-31 16:00:00Z;1390,201;0;2
2015-12-31 17:00:00Z;1390,091;0;2
2015-12-31 18:00:00Z;1389,652;0;2
2015-12-31 19:00:00Z;1389,579;0;2
2015-12-31 20:00:00Z;1389,542;0;2
2015-12-31 21:00:00Z;1389,322;0;2
2015-12-31 22:00:00Z;1389,285;0;2
2015-12-31 23:00:00Z;1389,248;0;2
2016-01-01 00:00:00Z;1388,991;0;2
2016-01-01 01:00:00Z;1388,771;0;2
2016-01-01 02:00:00Z;1388,918;0;2
2016-01-01 03:00:00Z;1388,698;0;2
2016-01-01 04:00:00Z;1388,441;0;2
2016-01-01 05:00:00Z;1388,441;0;2
2016-01-01 06:00:00Z;1388,624;0;2
2016-01-01 07:00:00Z;1388,441;0;2
2016-01-01 08:00:00Z;1388,367;0;2
2016-01-01 09:00:00Z;1388,112;0;2
2016-01-01 10:00:00Z;1387,855;0;2
2016-01-01 11:00:00Z;1387,745;0;2
2016-01-01 12:00:00Z;1387,304;0;2
2016-01-01 13:00:00Z;1387,194;0;2
2016-01-01 14:00:00Z;1386,974;0;2
2016-01-01 15:00:00Z;1386,864;0;2
2016-01-01 16:00:00Z;1386,425;0;2
2016-01-01 17:00:00Z;1386,315;0;2
2016-01-01 18:00:00Z;1386,058;0;2
2016-01-01 19:00:00Z;1385,765;0;2
2016-01-01 20:00:00Z;1385,508;0;2
2016-01-01 21:00:00Z;1385,434;0;2
2016-01-01 22:00:00Z;1385,177;0;2
2016-01-01 23:00:00Z;1384,92;0;2
2016-01-02 00:00:00Z;1384,883;0;2
2016-01-02 01:00:00Z;1384,92;0;2
2016-01-02 02:00:00Z;1385,104;0;2
2016-01-02 03:00:00Z;1384,92;0;2
2016-01-02 04:00:00Z;1384,883;0;2
2016-01-02 05:00:00Z;1384,92;0;2
2016-01-02 06:00:00Z;1385,104;0;2
2016-01-02 07:00:00Z;1384,957;0;2
2016-01-02 08:00:00Z;1385,104;0;2
2016-01-02 09:00:00Z;1384,957;0;2
2016-01-02 10:00:00Z;1385,14;0;2
2016-01-02 11:00:00Z;1385,177;0;2
2016-01-02 12:00:00Z;1385,177;0;2
2016-01-02 13:00:00Z;1385,177;0;2
2016-01-02 14:00:00Z;1385,214;0;2
2016-01-02 15:00:00Z;1385,397;0;2
2016-01-02 16:00:00Z;1385,25;0;2
2016-01-02 17:00:00Z;1385,471;0;2
2016-01-02 18:00:00Z;1385,691;0;2
2016-01-02 19:00:00Z;1385,508;0;2
2016-01-02 20:00:00Z;1385,544;0;2
2016-01-02 21:00:00Z;1385,948;0;2
2016-01-02 22:00:00Z;1385,728;0;2
2016-01-02 23:00:00Z;1385,287;0;2
2016-01-03 00:00:00Z;1385,397;0;2
2016-01-03 01:00:00Z;1385,287;0;2
2016-01-03 02:00:00Z;1385,691;0;2
2016-01-03 03:00:00Z;1385,765;0;2
2016-01-03 04:00:00Z;1385,765;0;2
2016-01-03 05:00:00Z;1385,765;0;2
2016-01-03 06:00:00Z;1385,765;0;2
2016-01-03 07:00:00Z;1385,728;0;2
2016-01-03 08:00:00Z;1385,508;0;2
2016-01-03 09:00:00Z;1385,434;0;2
2016-01-03 10:00:00Z;1385,214;0;2
2016-01-03 11:00:00Z;1385,177;0;2
2016-01-03 12:00:00Z;1385,14;0;2
2016-01-03 13:00:00Z;1384,92;0;2
2016-01-03 14:00:00Z;1384,847;0;2
2016-01-03 15:00:00Z;1384,628;0;2
2016-01-03 16:00:00Z;1384,592;0;2
2016-01-03 17:00:00Z;1384,555;0;2
2016-01-03 18:00:00Z;1384,335;0;2
2016-01-03 19:00:00Z;1384,261;0;2
2016-01-03 20:00:00Z;1384,041;0;2
2016-01-03 21:00:00Z;1384,004;0;2
2016-01-03 22:00:00Z;1383,968;0;2
2016-01-03 23:00:00Z;1383,747;0;2
2016-01-04 00:00:00Z;1383,711;0;2
2016-01-04 01:00:00Z;1383,637;0;2
2016-01-04 02:00:00Z;1383,233;0;2
2016-01-04 03:00:00Z;1383,344;0;2
2016-01-04 04:00:00Z;1383,16;0;2
2016-01-04 05:00:00Z;1383,086;0;2
2016-01-04 06:00:00Z;1382,83;0;2
2016-01-04 07:00:00Z;1382,537;0;2
2016-01-04 08:00:00Z;1382,244;0;2
2016-01-04 09:00:00Z;1381,914;0;2
2016-01-04 10:00:00Z;1381,436;0;2
2016-01-04 11:00:00Z;1381,29;0;2
2016-01-04 12:00:00Z;1380,814;0;2
2016-01-04 13:00:00Z;1380,484;0;2
2016-01-04 14:00:00Z;1380,19;0;2
2016-01-04 15:00:00Z;1379,896;0;2
2016-01-04 16:00:00Z;1379,603;0;2
2016-01-04 17:00:00Z;1379,309;0;2
2016-01-04 18:00:00Z;1379,017;0;2
2016-01-04 19:00:00Z;1378,723;0;2
2016-01-04 20:00:00Z;1378,43;0;2
2016-01-04 21:00:00Z;1378,099;0;2
2016-01-04 22:00:00Z;1377,659;0;2
2016-01-04 23:00:00Z;1377,769;0;2
2016-01-05 00:00:00Z;1377,585;0;2
2016-01-05 01:00:00Z;1377,512;0;2
2016-01-05 02:00:00Z;1377,256;0;2
2016-01-05 03:00:00Z;1377,037;0;2
2016-01-05 04:00:00Z;1377,147;0;2
2016-01-05 05:00:00Z;1376,743;0;2
2016-01-05 06:00:00Z;1376,596;0;2
2016-01-05 07:00:00Z;1376,156;0;2
2016-01-05 08:00:00Z;1376,046;0;2
2016-01-05 09:00:00Z;1375,752;0;2
2016-01-05 10:00:00Z;1375,276;0;2
2016-01-05 11:00:00Z;1375,166;0;2
2016-01-05 12:00:00Z;1374,873;0;2
2016-01-05 13:00:00Z;1374,395;0;2
2016-01-05 14:00:00Z;1374,285;0;2
2016-01-05 15:00:00Z;1373,992;0;2
2016-01-05 16:00:00Z;1373,479;0;2
2016-01-05 17:00:00Z;1373,186;0;2
2016-01-05 18:00:00Z;1373,076;0;2
2016-01-05 19:00:00Z;1372,635;0;2
2016-01-05 20:00:00Z;1372,525;0;2
2016-01-05 21:00:00Z;1372,232;0;2
2016-01-05 22:00:00Z;1371,756;0;2
2016-01-05 23:00:00Z;1371,646;0;2
2016-01-06 00:00:00Z;1371,352;0;2
2016-01-06 01:00:00Z;1370,875;0;2
2016-01-06 02:00:00Z;1370,728;0;2
2016-01-06 03:00:00Z;1370,251;0;2
2016-01-06 04:00:00Z;1369,959;0;2
2016-01-06 05:00:00Z;1369,885;0;2
2016-01-06 06:00:00Z;1369,665;0;2
2016-01-06 07:00:00Z;1369,628;0;2
2016-01-06 08:00:00Z;1369,482;0;2
2016-01-06 09:00:00Z;1368,527;0;2
2016-01-06 10:00:00Z;1367,941;0;2
2016-01-06 11:00:00Z;1367,795;0;2
2016-01-06 12:00:00Z;1367,354;0;2
2016-01-06 13:00:00Z;1367,207;0;2
2016-01-06 14:00:00Z;1366,73;0;2
2016-01-06 15:00:00Z;1366,436;0;2
2016-01-06 16:00:00Z;1366,327;0;2
2016-01-06 17:00:00Z;1365,887;0;2
2016-01-06 18:00:00Z;1365,741;0;2
2016-01-06 19:00:00Z;1365,3;0;2
2016-01-06 20:00:00Z;1365,154;0;2
2016-01-06 21:00:00Z;1364,713;0;2
2016-01-06 22:00:00Z;1364,603;0;2
2016-01-06 23:00:00Z;1364,347;0;2
2016-01-07 00:00:00Z;1364,017;0;2
2016-01-07 01:00:00Z;1363,54;0;2
2016-01-07 02:00:00Z;1363,393;0;2
2016-01-07 03:00:00Z;1362,953;0;2
2016-01-07 04:00:00Z;1362,843;0;2
2016-01-07 05:00:00Z;1362,551;0;2
2016-01-07 06:00:00Z;1362,073;0;2
2016-01-07 07:00:00Z;1361,927;0;2
2016-01-07 08:00:00Z;1361,486;0;2
2016-01-07 09:00:00Z;1361,339;0;2
2016-01-07 10:00:00Z;1360,899;0;2
2016-01-07 11:00:00Z;1360,752;0;2
2016-01-07 12:00:00Z;1360,276;0;2
2016-01-07 13:00:00Z;1359,946;0;2
2016-01-07 14:00:00Z;1359,689;0;2
2016-01-07 15:00:00Z;1359,542;0;2
2016-01-07 16:00:00Z;1358,883;0;2
2016-01-07 17:00:00Z;1358,736;0;2
2016-01-07 18:00:00Z;1358,48;0;2
2016-01-07 19:00:00Z;1358,149;0;2
2016-01-07 20:00:00Z;1357,672;0;2
2016-01-07 21:00:00Z;1357,525;0;2
2016-01-07 22:00:00Z;1357,086;0;2
2016-01-07 23:00:00Z;1356,976;0;2
2016-01-08 00:00:00Z;1356,719;0;2
2016-01-08 01:00:00Z;1356,462;0;2
2016-01-08 02:00:00Z;1356,352;0;2
2016-01-08 03:00:00Z;1355,875;0;2
