time,temperature_2m (°C),rain (mm),cloud_cover (%),wind_speed_10m (m/s),is_day (),sunshine_duration (s)
2015-12-31T00:00,8.5,1.40,100,12.89,0,0.00
2015-12-31T01:00,8.4,1.40,100,12.21,0,0.00
2015-12-31T02:00,8.2,1.40,100,11.47,0,0.00
2015-12-31T03:00,7.8,1.20,100,10.60,0,0.00
2015-12-31T04:00,7.3,0.70,100,10.19,0,0.00
2015-12-31T05:00,6.8,0.40,100,10.05,0,0.00
2015-12-31T06:00,6.3,0.30,100,9.73,0,0.00
2015-12-31T07:00,6.0,0.30,100,10.28,0,0.00
2015-12-31T08:00,5.8,0.30,100,10.98,0,0.00
2015-12-31T09:00,5.7,0.40,100,11.51,0,0.00
2015-12-31T10:00,5.3,0.60,100,12.48,0,0.00
2015-12-31T11:00,4.9,1.00,100,12.72,1,0.00
2015-12-31T12:00,4.7,0.90,100,13.57,1,0.00
2015-12-31T13:00,4.8,0.80,100,13.26,1,0.00
2015-12-31T14:00,4.8,0.90,100,12.74,1,0.00
2015-12-31T15:00,5.1,1.00,100,11.03,1,0.00
2015-12-31T16:00,5.8,0.60,100,9.35,1,0.00
2015-12-31T17:00,6.3,0.60,100,8.60,0,0.00
2015-12-31T18:00,6.9,0.20,84,8.73,0,0.00
2015-12-31T19:00,7.2,0.40,66,9.20,0,0.00
2015-12-31T20:00,7.4,0.30,56,8.95,0,0.00
2015-12-31T21:00,7.3,0.20,74,8.67,0,0.00
2015-12-31T22:00,7.5,0.10,65,8.50,0,0.00
2015-12-31T23:00,7.7,0.00,55,9.11,0,0.00
2016-01-01T00:00,7.5,0.00,25,9.36,0,0.00
2016-01-01T01:00,7.3,0.00,14,9.08,0,0.00
2016-01-01T02:00,6.9,0.00,68,8.81,0,0.00
2016-01-01T03:00,7.0,0.40,100,9.14,0,0.00
2016-01-01T04:00,7.4,0.70,100,10.05,0,0.00
2016-01-01T05:00,8.0,2.00,100,9.85,0,0.00
2016-01-01T06:00,7.8,2.90,100,8.35,0,0.00
2016-01-01T07:00,7.0,1.70,100,6.58,0,0.00
2016-01-01T08:00,6.8,0.70,100,4.86,0,0.00
2016-01-01T09:00,6.7,0.50,85,4.20,0,0.00
2016-01-01T10:00,6.5,0.20,71,3.62,0,0.00
2016-01-01T11:00,6.3,0.10,33,3.26,1,0.00
2016-01-01T12:00,6.3,0.00,37,3.05,1,670.57
2016-01-01T13:00,6.4,0.00,3,1.35,1,3600.00
2016-01-01T14:00,6.5,0.00,4,0.64,1,3600.00
2016-01-01T15:00,6.2,0.00,3,0.45,1,3600.00
2016-01-01T16:00,5.8,0.00,4,0.63,1,2653.68
2016-01-01T17:00,4.5,0.00,5,1.80,0,0.00
2016-01-01T18:00,3.7,0.00,12,2.41,0,0.00
2016-01-01T19:00,3.5,0.00,36,2.82,0,0.00
2016-01-01T20:00,3.0,0.00,36,2.83,0,0.00
2016-01-01T21:00,2.5,0.00,35,2.94,0,0.00
2016-01-01T22:00,2.4,0.00,32,3.34,0,0.00
2016-01-01T23:00,2.3,0.00,31,3.95,0,0.00
2016-01-02T00:00,2.6,0.00,42,4.24,0,0.00
2016-01-02T01:00,3.7,0.00,67,5.15,0,0.00
2016-01-02T02:00,4.5,0.00,100,6.22,0,0.00
2016-01-02T03:00,5.1,0.00,100,6.67,0,0.00
2016-01-02T04:00,5.9,0.00,100,6.94,0,0.00
2016-01-02T05:00,6.3,0.00,100,7.20,0,0.00
2016-01-02T06:00,6.6,0.00,100,7.94,0,0.00
2016-01-02T07:00,6.7,0.00,100,8.23,0,0.00
2016-01-02T08:00,6.7,0.00,100,8.68,0,0.00
2016-01-02T09:00,6.5,0.00,100,9.38,0,0.00
2016-01-02T10:00,6.0,0.00,100,10.12,0,0.00
2016-01-02T11:00,5.3,0.00,100,10.93,1,0.00
2016-01-02T12:00,4.9,0.00,100,10.13,1,0.00
2016-01-02T13:00,4.3,0.00,100,10.35,1,0.00
2016-01-02T14:00,3.8,0.00,100,10.62,1,566.31
2016-01-02T15:00,3.2,0.00,100,10.93,1,983.13
2016-01-02T16:00,2.6,0.00,100,11.58,1,0.00
2016-01-02T17:00,2.0,0.00,100,12.58,0,0.00
2016-01-02T18:00,1.6,0.00,62,12.79,0,0.00
2016-01-02T19:00,1.3,0.00,68,13.46,0,0.00
2016-01-02T20:00,1.1,0.00,73,13.45,0,0.00
2016-01-02T21:00,0.8,0.00,77,13.32,0,0.00
2016-01-02T22:00,0.6,0.00,74,13.37,0,0.00
2016-01-02T23:00,0.3,0.00,72,13.18,0,0.00
2016-01-03T00:00,0.1,0.00,63,11.75,0,0.00
2016-01-03T01:00,0.1,0.00,64,11.53,0,0.00
2016-01-03T02:00,0.1,0.00,67,11.44,0,0.00
2016-01-03T03:00,0.0,0.00,70,11.96,0,0.00
2016-01-03T04:00,-0.0,0.00,70,11.77,0,0.00
2016-01-03T05:00,-0.0,0.00,85,11.82,0,0.00
2016-01-03T06:00,0.1,0.00,76,12.58,0,0.00
2016-01-03T07:00,0.1,0.00,82,13.16,0,0.00
2016-01-03T08:00,0.1,0.00,81,13.30,0,0.00
2016-01-03T09:00,0.2,0.00,76,12.89,0,0.00
2016-01-03T10:00,0.2,0.00,67,12.85,0,0.00
2016-01-03T11:00,0.3,0.00,59,12.91,1,0.00
2016-01-03T12:00,0.2,0.00,51,11.37,1,1137.60
2016-01-03T13:00,0.3,0.00,40,12.03,1,3600.00
2016-01-03T14:00,0.4,0.00,40,11.98,1,3600.00
2016-01-03T15:00,0.3,0.00,64,12.54,1,3002.83
2016-01-03T16:00,0.2,0.00,64,12.34,1,2572.99
2016-01-03T17:00,0.1,0.00,53,12.97,0,0.00
2016-01-03T18:00,0.1,0.00,68,12.71,0,0.00
2016-01-03T19:00,-0.1,0.00,68,12.59,0,0.00
2016-01-03T20:00,-0.1,0.00,78,12.57,0,0.00
2016-01-03T21:00,-0.2,0.00,72,12.70,0,0.00
