date,spot_price,krs_temp_2m,stv_temp_2m,gas_price
2015-12-31 23:00:00,16.39,6.3,7.3,2.28
2016-01-01 00:00:00,16.04,6.1,6.9,2.28
2016-01-01 01:00:00,15.74,6.3,7.0,2.28
2016-01-01 02:00:00,15.57,6.5,7.4,2.28
2016-01-01 03:00:00,15.47,6.7,8.0,2.28
2016-01-01 04:00:00,15.75,6.8,7.8,2.28
2016-01-01 05:00:00,15.36,6.8,7.0,2.28
2016-01-01 06:00:00,15.37,6.3,6.8,2.28
2016-01-01 07:00:00,15.19,6.2,6.7,2.28
2016-01-01 08:00:00,15.39,6.0,6.5,2.28
2016-01-01 09:00:00,15.78,6.0,6.3,2.28
2016-01-01 10:00:00,16.15,5.8,6.3,2.28
2016-01-01 11:00:00,16.5,5.8,6.4,2.28
2016-01-01 12:00:00,16.72,5.7,6.5,2.28
2016-01-01 13:00:00,17.17,5.4,6.2,2.28
2016-01-01 14:00:00,18.0,4.9,5.8,2.28
2016-01-01 15:00:00,18.53,4.3,4.5,2.28
2016-01-01 16:00:00,19.11,3.8,3.7,2.28
2016-01-01 17:00:00,18.68,3.2,3.5,2.28
2016-01-01 18:00:00,17.93,2.7,3.0,2.28
2016-01-01 19:00:00,17.69,2.2,2.5,2.28
2016-01-01 20:00:00,17.33,2.2,2.4,2.28
2016-01-01 21:00:00,16.75,2.7,2.3,2.28
2016-01-01 22:00:00,16.25,3.8,2.6,2.28
2016-01-01 23:00:00,16.47,4.5,3.7,2.28
2016-01-02 00:00:00,15.89,4.6,4.5,2.28
2016-01-02 01:00:00,15.03,4.6,5.1,2.28
2016-01-02 02:00:00,13.19,4.5,5.9,2.28
2016-01-02 03:00:00,12.69,4.6,6.3,2.28
2016-01-02 04:00:00,12.94,4.6,6.6,2.28
2016-01-02 05:00:00,13.59,4.3,6.7,2.28
2016-01-02 06:00:00,14.25,3.6,6.7,2.28
2016-01-02 07:00:00,15.7,3.2,6.5,2.28
2016-01-02 08:00:00,15.72,2.7,6.0,2.28
2016-01-02 09:00:00,15.97,2.1,5.3,2.28
2016-01-02 10:00:00,15.98,1.7,4.9,2.28
2016-01-02 11:00:00,15.87,1.4,4.3,2.28
2016-01-02 12:00:00,15.98,1.2,3.8,2.28
2016-01-02 13:00:00,15.99,0.9,3.2,2.28
2016-01-02 14:00:00,15.99,0.6,2.6,2.28
2016-01-02 15:00:00,16.22,0.5,2.0,2.28
2016-01-02 16:00:00,16.51,0.3,1.6,2.28
2016-01-02 17:00:00,16.37,0.2,1.3,2.28
2016-01-02 18:00:00,16.08,0.0,1.1,2.28
2016-01-02 19:00:00,16.15,-0.1,0.8,2.28
2016-01-02 20:00:00,15.83,-0.1,0.6,2.28
2016-01-02 21:00:00,15.82,-0.2,0.3,2.28
2016-01-02 22:00:00,15.31,-0.3,0.1,2.28
2016-01-02 23:00:00,15.99,-0.3,0.1,2.28
2016-01-03 00:00:00,15.87,-0.3,0.1,2.28
2016-01-03 01:00:00,15.76,-0.2,0.0,2.28
2016-01-03 02:00:00,15.59,-0.1,-0.0,2.28
2016-01-03 03:00:00,14.43,-0.0,-0.0,2.28
2016-01-03 04:00:00,14.96,0.0,0.1,2.28
2016-01-03 05:00:00,14.98,-0.0,0.1,2.28
2016-01-03 06:00:00,15.53,-0.1,0.1,2.28
2016-01-03 07:00:00,15.79,-0.0,0.2,2.28
2016-01-03 08:00:00,16.17,-0.0,0.2,2.28
2016-01-03 09:00:00,16.44,-0.0,0.3,2.28
2016-01-03 10:00:00,16.49,-0.1,0.2,2.28
2016-01-03 11:00:00,16.37,-0.1,0.3,2.28
2016-01-03 12:00:00,16.35,-0.2,0.4,2.28
2016-01-03 13:00:00,16.35,-0.3,0.3,2.28
2016-01-03 14:00:00,16.3,-0.3,0.2,2.28
2016-01-03 15:00:00,16.45,-0.3,0.1,2.28
2016-01-03 16:00:00,17.22,-0.3,0.1,2.28
2016-01-03 17:00:00,16.83,-0.3,-0.1,2.28
2016-01-03 18:00:00,16.48,-0.3,-0.1,2.28
2016-01-03 19:00:00,16.43,-0.4,-0.2,2.28
2016-01-03 20:00:00,16.43,-0.4,-0.3,2.28
2016-01-03 21:00:00,16.26,-0.4,-0.2,2.28
2016-01-03 22:00:00,15.74,-0.4,-0.4,2.28
2016-01-03 23:00:00,15.86,-0.3,-0.4,2.28
2016-01-04 00:00:00,15.59,-0.4,-0.5,2.28
2016-01-04 01:00:00,15.43,-0.5,-0.6,2.28
2016-01-04 02:00:00,15.56,-0.5,-0.8,2.28
2016-01-04 03:00:00,15.86,-0.5,-1.0,2.28
2016-01-04 04:00:00,15.9,-0.7,-1.1,2.28
2016-01-04 05:00:00,16.4,-0.8,-1.2,2.28
2016-01-04 06:00:00,19.34,-0.9,-1.1,2.28
2016-01-04 07:00:00,20.49,-1.3,-1.2,2.28
2016-01-04 08:00:00,20.49,-1.4,-1.5,2.28
2016-01-04 09:00:00,20.47,-1.4,-1.4,2.28
2016-01-04 10:00:00,20.14,-1.2,-1.5,2.28
2016-01-04 11:00:00,19.85,-1.2,-1.2,2.28
2016-01-04 12:00:00,19.83,-1.3,-1.1,2.28
2016-01-04 13:00:00,19.88,-1.3,-0.9,2.28
2016-01-04 14:00:00,20.09,-1.4,-0.9,2.28
2016-01-04 15:00:00,20.79,-1.5,-1.2,2.28
2016-01-04 16:00:00,21.07,-1.4,-1.4,2.28
2016-01-04 17:00:00,20.54,-1.3,-1.4,2.28
2016-01-04 18:00:00,19.77,-1.2,-1.5,2.28
2016-01-04 19:00:00,19.05,-0.7,-1.3,2.28
2016-01-04 20:00:00,18.5,-0.7,-1.4,2.28
2016-01-04 21:00:00,17.71,-0.8,-1.3,2.28
2016-01-04 22:00:00,17.03,-0.7,-1.0,2.28
2016-01-04 23:00:00,17.68,-0.7,-1.1,2.28
2016-01-05 00:00:00,17.33,-0.6,-1.0,2.39
2016-01-05 01:00:00,17.24,-0.6,-0.7,2.39
2016-01-05 02:00:00,17.32,-0.6,-0.6,2.39
2016-01-05 03:00:00,17.66,-0.7,-0.5,2.39
2016-01-05 04:00:00,17.92,-1.3,-0.5,2.39
2016-01-05 05:00:00,18.8,-1.3,-0.5,2.39
2016-01-05 06:00:00,20.51,-1.4,-0.4,2.39
2016-01-05 07:00:00,22.58,-1.4,-0.4,2.39
2016-01-05 08:00:00,21.73,-1.7,-0.5,2.39
2016-01-05 09:00:00,21.78,-1.8,-0.3,2.39
2016-01-05 10:00:00,21.64,-1.6,-0.2,2.39
2016-01-05 11:00:00,20.91,-1.5,-0.1,2.39
2016-01-05 12:00:00,20.61,-1.4,-0.0,2.39
2016-01-05 13:00:00,20.63,-1.4,-0.0,2.39
2016-01-05 14:00:00,20.71,-1.5,-0.2,2.39
2016-01-05 15:00:00,20.96,-1.8,-0.4,2.39
2016-01-05 16:00:00,21.23,-1.9,-0.6,2.39
2016-01-05 17:00:00,20.68,-2.2,-0.8,2.39
2016-01-05 18:00:00,20.48,-2.4,-0.8,2.39
2016-01-05 19:00:00,19.89,-2.4,-0.9,2.39
2016-01-05 20:00:00,19.39,-2.4,-1.0,2.39
2016-01-05 21:00:00,18.73,-2.6,-1.2,2.39
2016-01-05 22:00:00,17.97,-3.0,-1.2,2.39
2016-01-05 23:00:00,20.02,-3.4,-1.5,2.39
2016-01-06 00:00:00,19.63,-3.8,-1.7,2.33
2016-01-06 01:00:00,19.33,-4.2,-1.9,2.33
2016-01-06 02:00:00,19.35,-4.4,-2.2,2.33
2016-01-06 03:00:00,19.51,-4.7,-2.5,2.33
2016-01-06 04:00:00,19.81,-4.9,-2.7,2.33
2016-01-06 05:00:00,20.5,-5.0,-2.8,2.33
2016-01-06 06:00:00,22.06,-5.0,-2.9,2.33
2016-01-06 07:00:00,25.19,-4.6,-3.0,2.33
2016-01-06 08:00:00,28.24,-4.4,-3.1,2.33
2016-01-06 09:00:00,34.97,-4.6,-3.1,2.33
2016-01-06 10:00:00,37.95,-4.6,-2.6,2.33
2016-01-06 11:00:00,37.37,-4.4,-2.2,2.33
2016-01-06 12:00:00,36.61,-4.3,-1.9,2.33
2016-01-06 13:00:00,29.75,-4.3,-1.8,2.33
2016-01-06 14:00:00,28.17,-4.2,-1.8,2.33
2016-01-06 15:00:00,28.23,-4.1,-2.1,2.33
2016-01-06 16:00:00,29.6,-4.2,-2.4,2.33
2016-01-06 17:00:00,28.19,-4.3,-2.5,2.33
2016-01-06 18:00:00,26.87,-4.2,-2.6,2.33
2016-01-06 19:00:00,24.87,-3.8,-2.6,2.33
2016-01-06 20:00:00,22.06,-3.8,-2.6,2.33
2016-01-06 21:00:00,20.47,-3.7,-2.7,2.33
2016-01-06 22:00:00,19.37,-3.5,-2.8,2.33
2016-01-06 23:00:00,21.94,-3.5,-2.9,2.33
2016-01-07 00:00:00,21.75,-3.5,-3.0,2.37
2016-01-07 01:00:00,21.5,-3.6,-3.0,2.37
2016-01-07 02:00:00,21.52,-3.7,-3.1,2.37
2016-01-07 03:00:00,21.6,-3.8,-3.1,2.37
2016-01-07 04:00:00,21.62,-3.8,-3.2,2.37
2016-01-07 05:00:00,22.16,-3.9,-3.3,2.37
2016-01-07 06:00:00,27.8,-3.9,-3.2,2.37
2016-01-07 07:00:00,30.48,-3.9,-3.3,2.37
2016-01-07 08:00:00,29.34,-4.0,-3.3,2.37
2016-01-07 09:00:00,29.27,-4.0,-3.3,2.37
2016-01-07 10:00:00,27.04,-3.8,-3.3,2.37
2016-01-07 11:00:00,28.44,-3.8,-3.0,2.37
2016-01-07 12:00:00,26.08,-3.6,-3.0,2.37
2016-01-07 13:00:00,24.85,-3.5,-2.8,2.37
2016-01-07 14:00:00,23.6,-3.4,-2.8,2.37
2016-01-07 15:00:00,23.0,-3.3,-2.7,2.37
2016-01-07 16:00:00,24.82,-3.0,-2.5,2.37
2016-01-07 17:00:00,22.9,-3.3,-2.3,2.37
2016-01-07 18:00:00,21.71,-3.0,-2.2,2.37
2016-01-07 19:00:00,21.25,-3.1,-2.0,2.37
2016-01-07 20:00:00,21.47,-2.8,-1.5,2.37
2016-01-07 21:00:00,21.22,-2.4,-1.1,2.37
2016-01-07 22:00:00,20.26,-2.3,-0.9,2.37
2016-01-07 23:00:00,21.06,-2.1,-0.7,2.37
2016-01-08 00:00:00,20.16,-2.1,-0.4,2.35
2016-01-08 01:00:00,19.78,-2.5,-0.3,2.35
2016-01-08 02:00:00,19.38,-2.1,-0.4,2.35
2016-01-08 03:00:00,18.61,-2.2,-0.5,2.35
2016-01-08 04:00:00,20.54,-2.3,-0.7,2.35
2016-01-08 05:00:00,22.02,-2.6,-0.7,2.35
2016-01-08 06:00:00,24.42,-2.8,-0.8,2.35
2016-01-08 07:00:00,27.98,-3.2,-0.9,2.35
2016-01-08 08:00:00,26.6,-3.6,-1.0,2.35
2016-01-08 09:00:00,25.55,-3.8,-1.0,2.35
2016-01-08 10:00:00,25.76,-3.9,-0.6,2.35
2016-01-08 11:00:00,25.13,-4.1,-0.4,2.35
2016-01-08 12:00:00,25.58,-4.2,-0.2,2.35
2016-01-08 13:00:00,27.6,-4.2,-0.1,2.35
2016-01-08 14:00:00,30.81,-4.3,-0.1,2.35
2016-01-08 15:00:00,35.97,-4.3,-0.5,2.35
2016-01-08 16:00:00,43.56,-4.3,-0.6,2.35
2016-01-08 17:00:00,45.47,-4.4,-0.5,2.35
2016-01-08 18:00:00,38.81,-4.4,-0.6,2.35
2016-01-08 19:00:00,28.57,-4.1,-0.7,2.35
2016-01-08 20:00:00,25.09,-4.2,-0.7,2.35
2016-01-08 21:00:00,24.32,-4.3,-0.8,2.35
2016-01-08 22:00:00,22.66,-4.4,-0.6,2.35
2016-01-08 23:00:00,24.51,-4.4,-0.7,2.35
2016-01-09 00:00:00,23.44,-4.2,-0.6,2.47
2016-01-09 01:00:00,22.79,-4.1,-0.7,2.47
2016-01-09 02:00:00,22.49,-3.9,-0.6,2.47
2016-01-09 03:00:00,21.96,-3.8,-0.6,2.47
2016-01-09 04:00:00,22.25,-3.7,-0.6,2.47
2016-01-09 05:00:00,22.39,-3.5,-0.5,2.47
2016-01-09 06:00:00,22.97,-3.3,-0.4,2.47
2016-01-09 07:00:00,23.95,-2.4,-0.4,2.47
2016-01-09 08:00:00,24.7,-2.3,-0.2,2.47
2016-01-09 09:00:00,26.49,-2.1,-0.1,2.47
2016-01-09 10:00:00,26.93,-2.0,0.3,2.47
2016-01-09 11:00:00,26.32,-2.1,0.4,2.47
2016-01-09 12:00:00,25.32,-2.2,0.4,2.47
2016-01-09 13:00:00,24.85,-2.4,0.5,2.47
2016-01-09 14:00:00,26.13,-2.7,0.4,2.47
2016-01-09 15:00:00,27.87,-2.7,0.2,2.47
2016-01-09 16:00:00,29.09,-2.8,0.1,2.47
2016-01-09 17:00:00,27.87,-3.1,-0.0,2.47
2016-01-09 18:00:00,24.63,-3.3,0.0,2.47
2016-01-09 19:00:00,23.13,-2.9,0.0,2.47
2016-01-09 20:00:00,22.57,-2.9,0.1,2.47
2016-01-09 21:00:00,22.07,-2.8,0.3,2.47
2016-01-09 22:00:00,21.26,-3.0,0.3,2.47
2016-01-09 23:00:00,21.32,-3.1,0.2,2.47
