datetime,volume_demand,volume_production,spot_price,krs_temp_2m,krs_app_temp,stv_temp_2m,stv_app_temp,gas_price
2015-12-31 23:00:00,4043.0,7818.0,16.39,6.3,3.3,7.3,1.4,2.28
2016-01-01 00:00:00,4010.0,7694.0,16.04,6.1,3.4,6.9,0.9,2.28
2016-01-01 01:00:00,3930.0,7437.0,15.74,6.3,3.3,7.0,0.9,2.28
2016-01-01 02:00:00,3839.0,7120.0,15.57,6.5,3.0,7.4,1.1,2.28
2016-01-01 03:00:00,3833.0,7041.0,15.47,6.7,2.8,8.0,1.8,2.28
2016-01-01 04:00:00,3944.0,7246.0,15.75,6.8,2.8,7.8,2.3,2.28
2016-01-01 05:00:00,3940.0,6860.0,15.36,6.8,2.8,7.0,2.2,2.28
2016-01-01 06:00:00,4011.0,6990.0,15.37,6.3,2.1,6.8,2.7,2.28
2016-01-01 07:00:00,4126.0,6994.0,15.19,6.2,2.5,6.7,2.8,2.28
2016-01-01 08:00:00,4197.0,7551.0,15.39,6.0,3.0,6.5,2.8,2.28
2016-01-01 09:00:00,4368.0,8109.0,15.78,6.0,3.6,6.3,2.7,2.28
2016-01-01 10:00:00,4448.0,8528.0,16.15,5.8,3.4,6.3,3.0,2.28
2016-01-01 11:00:00,4529.0,8797.0,16.5,5.8,3.5,6.4,3.9,2.28
2016-01-01 12:00:00,4527.0,8990.0,16.72,5.7,3.2,6.5,4.4,2.28
2016-01-01 13:00:00,4629.0,9210.0,17.17,5.4,2.6,6.2,4.2,2.28
2016-01-01 14:00:00,4660.0,9389.0,18.0,4.9,2.1,5.8,3.6,2.28
2016-01-01 15:00:00,4818.0,9506.0,18.53,4.3,1.4,4.5,1.8,2.28
2016-01-01 16:00:00,4838.0,9392.0,19.11,3.8,0.9,3.7,0.7,2.28
2016-01-01 17:00:00,4840.0,9333.0,18.68,3.2,0.3,3.5,0.3,2.28
2016-01-01 18:00:00,4706.0,9296.0,17.93,2.7,-0.5,3.0,-0.3,2.28
2016-01-01 19:00:00,4618.0,9109.0,17.69,2.2,-1.2,2.5,-0.9,2.28
2016-01-01 20:00:00,4508.0,8960.0,17.33,2.2,-1.1,2.4,-1.4,2.28
2016-01-01 21:00:00,4313.0,8528.0,16.75,2.7,-0.7,2.3,-1.8,2.28
