Day,Natural Gas Price
09/13/2018,2.94
09/12/2018,2.98
09/11/2018,2.94
09/10/2018,2.9
09/7/2018,2.88
09/6/2018,2.93
09/5/2018,3
09/4/2018,2.96
08/31/2018,2.98
08/30/2018,2.96
08/29/2018,2.96
08/28/2018,2.98
08/27/2018,2.98
08/24/2018,2.99
08/23/2018,3.01
08/22/2018,3.02
08/21/2018,3.01
08/20/2018,3.04
08/17/2018,3.01
08/16/2018,3.02
08/15/2018,3.02
08/14/2018,3.02
08/13/2018,2.92
08/10/2018,2.96
08/9/2018,3.02
08/8/2018,2.99
08/7/2018,2.95
08/6/2018,2.85
08/3/2018,2.86
08/2/2018,2.77
08/1/2018,2.8
07/31/2018,2.82
07/30/2018,2.75
07/27/2018,2.78
07/26/2018,2.82
07/25/2018,2.82
07/24/2018,2.73
07/23/2018,2.79
07/20/2018,2.79
07/19/2018,2.75
07/18/2018,2.8
07/17/2018,2.81
07/16/2018,2.76
07/13/2018,2.86
07/12/2018,2.89
07/11/2018,2.89
07/10/2018,2.9
07/9/2018,2.9
07/6/2018,2.91
07/5/2018,2.91
07/3/2018,2.9
07/2/2018,2.9
06/29/2018,2.96
06/28/2018,2.99
06/27/2018,3.01
06/26/2018,2.98
06/25/2018,2.96
06/22/2018,2.95
06/21/2018,3.08
06/20/2018,2.96
06/19/2018,2.95
06/18/2018,2.99
06/15/2018,3.02
06/14/2018,2.99
06/13/2018,2.98
06/12/2018,2.98
06/11/2018,3
06/8/2018,2.91
06/7/2018,3.02
06/6/2018,2.89
06/5/2018,2.89
06/4/2018,2.89
06/1/2018,2.91
05/31/2018,2.94
05/30/2018,2.83
05/29/2018,2.84
05/25/2018,2.88
05/24/2018,2.88
05/23/2018,2.89
05/22/2018,2.76
05/21/2018,2.77
05/18/2018,2.75
05/17/2018,2.75
05/16/2018,2.85
05/15/2018,2.83
05/14/2018,2.84
05/11/2018,2.75
05/10/2018,2.78
05/9/2018,2.75
05/8/2018,2.77
05/7/2018,2.74
05/4/2018,2.75
05/3/2018,2.75
05/2/2018,2.77
05/1/2018,2.75
04/30/2018,2.75
04/27/2018,2.82
04/26/2018,2.81
04/25/2018,2.81
04/24/2018,2.79
04/23/2018,2.78
04/20/2018,2.78
04/19/2018,2.8
04/18/2018,2.85
04/17/2018,2.84
04/16/2018,2.88
04/13/2018,2.82
04/12/2018,2.76
04/11/2018,2.74
04/10/2018,2.78
04/9/2018,2.78
04/6/2018,2.81
04/5/2018,2.81
04/4/2018,2.81
04/3/2018,2.75
04/2/2018,2.75
03/29/2018,2.81
03/28/2018,2.64
03/27/2018,2.6
03/26/2018,2.63
03/23/2018,2.58
03/22/2018,2.62
03/21/2018,2.74
03/20/2018,2.71
03/19/2018,2.62
03/16/2018,2.62
03/15/2018,2.7
03/14/2018,2.69
03/13/2018,2.76
03/12/2018,2.78
03/9/2018,2.71
03/8/2018,2.8
03/7/2018,2.8
03/6/2018,2.7
03/5/2018,2.7
03/2/2018,2.67
03/1/2018,2.67
02/28/2018,2.66
02/27/2018,2.59
02/26/2018,2.6
02/23/2018,2.58
02/22/2018,2.65
02/21/2018,2.65
02/20/2018,2.61
02/16/2018,2.49
02/15/2018,2.49
02/14/2018,2.53
02/13/2018,2.58
02/12/2018,2.6
02/9/2018,2.66
02/8/2018,2.74
02/7/2018,2.74
02/6/2018,2.75
02/5/2018,2.85
02/2/2018,2.91
02/1/2018,3.06
01/31/2018,3.34
01/30/2018,3.6
01/29/2018,3.6
01/26/2018,3.58
01/25/2018,3.54
01/24/2018,3.54
01/23/2018,3.35
01/22/2018,3.13
01/19/2018,3.2
01/18/2018,3.92
01/17/2018,3.92
01/16/2018,5.46
01/12/2018,4.06
01/11/2018,3.16
01/10/2018,3.16
01/9/2018,2.93
01/8/2018,2.89
01/5/2018,
01/4/2018,4.65
01/3/2018,6.24
01/2/2018,6.24
12/29/2017,3.69
12/28/2017,2.97
12/27/2017,2.76
12/26/2017,2.68
12/22/2017,2.63
12/21/2017,2.64
12/20/2017,2.72
12/19/2017,2.75
12/18/2017,2.71
12/15/2017,2.6
12/14/2017,2.69
12/13/2017,2.87
12/12/2017,2.87
12/11/2017,2.81
12/8/2017,2.78
12/7/2017,2.81
12/6/2017,2.86
12/5/2017,2.86
12/4/2017,2.91
12/1/2017,2.84
11/30/2017,3.06
11/29/2017,3.06
11/28/2017,2.88
11/27/2017,2.88
11/24/2017,3.05
11/23/2017,3.05
11/22/2017,3.05
11/21/2017,3.05
11/20/2017,3.04
11/17/2017,3.04
11/16/2017,3.09
11/15/2017,3.16
11/14/2017,3.06
11/13/2017,3.13
11/10/2017,3.17
11/9/2017,3.18
11/8/2017,3.16
11/7/2017,3.07
11/6/2017,3.01
11/3/2017,2.75
11/2/2017,2.68
11/1/2017,2.68
10/31/2017,2.84
10/30/2017,2.94
10/27/2017,2.78
10/26/2017,2.91
10/25/2017,2.98
10/24/2017,2.95
10/23/2017,2.95
10/20/2017,2.8
10/19/2017,2.83
10/18/2017,2.81
10/17/2017,2.88
10/16/2017,2.87
10/13/2017,2.99
10/12/2017,2.95
10/11/2017,2.89
10/10/2017,2.89
10/9/2017,2.87
10/6/2017,2.93
10/5/2017,2.8
10/4/2017,2.8
10/3/2017,2.73
10/2/2017,2.94
09/29/2017,2.94
09/28/2017,2.96
09/27/2017,2.98
09/26/2017,2.96
09/25/2017,2.96
09/22/2017,2.93
09/21/2017,3.11
09/20/2017,3.13
09/19/2017,3.18
09/18/2017,3.11
09/15/2017,3
09/14/2017,3.03
09/13/2017,3.02
09/12/2017,2.88
09/11/2017,2.88
09/8/2017,2.88
09/7/2017,2.92
09/6/2017,2.98
09/5/2017,2.88
09/4/2017,2.88
09/1/2017,2.88
08/31/2017,2.92
08/30/2017,2.95
08/29/2017,2.95
08/28/2017,2.95
08/25/2017,2.93
08/24/2017,2.97
08/23/2017,2.94
08/22/2017,3
08/21/2017,3
08/18/2017,2.9
08/17/2017,2.91
08/16/2017,2.94
08/15/2017,2.96
08/14/2017,3.02
08/11/2017,2.96
08/10/2017,2.89
08/9/2017,2.81
08/8/2017,2.81
08/7/2017,2.8
08/4/2017,2.76
08/3/2017,2.76
08/2/2017,2.8
08/1/2017,2.8
07/31/2017,2.87
07/28/2017,2.96
07/27/2017,2.95
07/26/2017,2.92
07/25/2017,2.99
07/24/2017,2.99
07/21/2017,3.06
07/20/2017,3.12
07/19/2017,3.11
07/18/2017,3.11
07/17/2017,3.04
07/14/2017,2.94
07/13/2017,2.96
07/12/2017,3.01
07/11/2017,2.98
07/10/2017,2.92
07/7/2017,2.91
07/6/2017,2.89
07/5/2017,2.98
07/4/2017,2.98
07/3/2017,2.98
06/30/2017,2.98
06/29/2017,3.07
06/28/2017,3.03
06/27/2017,2.99
06/26/2017,2.98
06/23/2017,2.89
06/22/2017,2.88
06/21/2017,2.91
06/20/2017,2.91
06/19/2017,2.87
06/16/2017,3.01
06/15/2017,2.94
06/14/2017,2.95
06/13/2017,3.12
06/12/2017,3.12
06/9/2017,3.03
06/8/2017,2.98
06/7/2017,3.06
06/6/2017,2.92
06/5/2017,2.92
06/2/2017,2.85
06/1/2017,3.05
05/31/2017,3.05
05/30/2017,3.1
